"","Parameter","Type","Unit","Protocols","Description","Sources","Protocols count"
"11107","dsm.drinking.event","boolean","","[9,13,850,919]","Driver drinking event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm type 0x13 of Extension ID 0x65 of Message ID 0x0200""],""850"":[""Alarm/Event type 0xDE of Additional info ID 0x65""],""919"":[""Alarm/Event type 0x09 of Additional info ID 0x65""]}",4
"11108","dsm.driver.abnormal.event","boolean","","[13,250,413,552,850,865,919]","Driver abnormal event generated by Driver status monitoring system (DSM)","{""13"":[""Alarm type 0x05 of Extension ID 0x65 of Message ID 0x0200""],""250"":[""ST 60 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 37 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Alarm/Event type 5 of Additional info ID 0x65""],""850"":[""Alarm/Event type 5 of Additional info ID 0x65""],""865"":[""Alarm/Event type 5 of Additional info ID 0x65""],""919"":[""Alarm/Event type 5 of Additional info ID 0x65""]}",7
"11109","dsm.driver.change.event","boolean","","[13,413,515,552,850,865,919]","Driver changed event generated by Driver status monitoring system (DSM)","{""13"":[""Alarm type 0x11 of Extension ID 0x65 of Message ID 0x0200""],""413"":[""Alarm type 49 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 72 of Service Data Event Type 30 of Message Type 0x1051""],""515"":[""eventType 'DriverChanged' of Event type 'metadata' of Pub type 'events'""],""552"":[""Alarm/Event type 0x11 of Additional info ID 0x65""],""850"":[""Alarm/Event type 0x11 of Additional info ID 0x65""],""865"":[""Alarm/Event type 0x11 of Additional info ID 0x65""],""919"":[""Alarm/Event type 0x11 of Additional info ID 0x65""]}",7
"11110","dsm.driver.glasses.event","boolean","","[13,250,413,850,865]","Event driver in glasses generated by Driver status monitoring system (DSM)","{""13"":[""Alarm type 0x0B of Extension ID 0x65 of Message ID 0x0200""],""250"":[""ST 22 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 80 of Service Data Event Type 30 of Message Type 0x1051""],""850"":[""Alarm/Event type 0xDA of Additional info ID 0x65""],""865"":[""Alarm/Event type 0x1F of Additional info ID 0x65""]}",5
"11111","dsm.driver.hands.event","boolean","","[9,13,250,850,865]","Driver's hands event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm type 0x0C of Extension ID 0x65 of Message ID 0x0200""],""250"":[""ST 20 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 21 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""850"":[""Alarm/Event type 0xC2 of Additional info ID 0x65"",""Alarm/Event type 0xDB of Additional info ID 0x65"",""Alarm/Event type 0xDC of Additional info ID 0x65""],""865"":[""Alarm/Event type 0x0C of Additional info ID 0x65"",""Alarm/Event type 0x0D of Additional info ID 0x65""]}",5
"11112","dsm.driver.language.event","boolean","","[250]","Driver use inappropriate language event generated by Driver status monitoring system (DSM)","{""250"":[""ST 30 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""]}",1
"11113","dsm.driver.mask.event","boolean","","[14,250,413,919]","Driver wearing mask event generated by Driver status monitoring system (DSM)","{""14"":[""AVL ID 11706""],""250"":[""ST 17 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 85 of Service Data Event Type 30 of Message Type 0x1051""],""919"":[""Alarm/Event type 0x16 of Additional info ID 0x65""]}",4
"11114","dsm.driver.missing.event","boolean","","[9,13,14,250,413,515]","Driver missing event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0x94 of Protocol Number 0x13"",""Alarm bit 0x94 of Protocol Number 0x16"",""Alarm bit 0x94 of Protocol Number 0x19"",""Alarm bit 0x94 of Protocol Number 0x26"",""Alarm bit 0x94 of Protocol Number 0x27"",""Alarm bit 0x94 of Protocol Number 0x36"",""Alarm bit 0x94 of Protocol Number 0x37"",""Alarm bit 0x94 of Protocol Number 0x38"",""Alarm bit 0x94 of Protocol Number 0x39"",""Alarm bit 0x94 of Protocol Number 0x95"",""Alarm bit 0x94 of Protocol Number 0xA3"",""Alarm bit 0x94 of Protocol Number 0xA4"",""Alarm bit 0x94 of Protocol Number 0xA5"",""Alarm bit 0x94 of Protocol Number 0xA9"",""Alarm type 0x0F of Extension ID 0x65 of Message ID 0x0200""],""14"":[""AVL ID 11705""],""250"":[""ST 1 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 70 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 82 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 83 of Service Data Event Type 30 of Message Type 0x1051""],""515"":[""eventType 'DriverDisappeared' of Event type 'metadata' of Pub type 'events'"",""eventType 'UnknownDriver' of Event type 'metadata' of Pub type 'events'""]}",6
"11115","dsm.driver.phone.event","boolean","","[9,13,14,33,250,413,552,776,850,865,919]","Driver using the phone event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0x97 of Protocol Number 0x13"",""Alarm bit 0x97 of Protocol Number 0x16"",""Alarm bit 0x97 of Protocol Number 0x19"",""Alarm bit 0x97 of Protocol Number 0x26"",""Alarm bit 0x97 of Protocol Number 0x27"",""Alarm bit 0x97 of Protocol Number 0x36"",""Alarm bit 0x97 of Protocol Number 0x37"",""Alarm bit 0x97 of Protocol Number 0x38"",""Alarm bit 0x97 of Protocol Number 0x39"",""Alarm bit 0x97 of Protocol Number 0x95"",""Alarm bit 0x97 of Protocol Number 0xA3"",""Alarm bit 0x97 of Protocol Number 0xA4"",""Alarm bit 0x97 of Protocol Number 0xA5"",""Alarm bit 0x97 of Protocol Number 0xA9"",""Alarm type 0x02 of Extension ID 0x65 of Message ID 0x0200"",""Alarm type 0x0D of Extension ID 0x65 of Message ID 0x0200""],""14"":[""AVL ID 11703""],""33"":[""Event ID 5 of Report GTDSS""],""250"":[""ST 2 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 34 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Additional info ID 0x18"",""Alarm/Event type 2 of Additional info ID 0x65""],""776"":[""Additional info ID 0x18""],""850"":[""Additional info ID 0x18"",""Alarm/Event type 0xC0 of Additional info ID 0x65"",""Alarm/Event type 0xD6 of Additional info ID 0x65"",""Alarm/Event type 2 of Additional info ID 0x65""],""865"":[""Alarm/Event type 2 of Additional info ID 0x65""],""919"":[""Additional info ID 0x18"",""Alarm/Event type 2 of Additional info ID 0x65""]}",11
"11116","dsm.driver.staring.event","boolean","","[9,250]","Driver staring blankly event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""250"":[""ST 49 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""]}",2
"11117","dsm.eyes.closed.event","boolean","","[13,33,413,850,865]","Driver's eyes closed event generated by Driver status monitoring system (DSM)","{""13"":[""Alarm bit 0x8C of Protocol Number 0x13"",""Alarm bit 0x8C of Protocol Number 0x16"",""Alarm bit 0x8C of Protocol Number 0x19"",""Alarm bit 0x8C of Protocol Number 0x26"",""Alarm bit 0x8C of Protocol Number 0x27"",""Alarm bit 0x8C of Protocol Number 0x36"",""Alarm bit 0x8C of Protocol Number 0x37"",""Alarm bit 0x8C of Protocol Number 0x38"",""Alarm bit 0x8C of Protocol Number 0x39"",""Alarm bit 0x8C of Protocol Number 0x95"",""Alarm bit 0x8C of Protocol Number 0xA3"",""Alarm bit 0x8C of Protocol Number 0xA4"",""Alarm bit 0x8C of Protocol Number 0xA5"",""Alarm bit 0x8C of Protocol Number 0xA9"",""Alarm type 0x07 of Extension ID 0x65 of Message ID 0x0200""],""33"":[""Event ID 1 of Report GTDSS""],""413"":[""Alarm type 65 of Service Data Event Type 30 of Message Type 0x1051""],""850"":[""Alarm/Event type 0xE3 of Additional info ID 0x65""],""865"":[""Alarm/Event type 0x12 of Additional info ID 0x65""]}",5
"11118","dsm.fatigue.event","boolean","","[13,14,250,413,515,552,776,850,865,919]","Driver fatigue event generated by Driver status monitoring system (DSM)","{""13"":[""Alarm bit 0xA3 of Protocol Number 0x13"",""Alarm bit 0xA3 of Protocol Number 0x16"",""Alarm bit 0xA3 of Protocol Number 0x19"",""Alarm bit 0xA3 of Protocol Number 0x26"",""Alarm bit 0xA3 of Protocol Number 0x27"",""Alarm bit 0xA3 of Protocol Number 0x36"",""Alarm bit 0xA3 of Protocol Number 0x37"",""Alarm bit 0xA3 of Protocol Number 0x38"",""Alarm bit 0xA3 of Protocol Number 0x39"",""Alarm bit 0xA3 of Protocol Number 0x95"",""Alarm bit 0xA3 of Protocol Number 0xA3"",""Alarm bit 0xA3 of Protocol Number 0xA4"",""Alarm bit 0xA3 of Protocol Number 0xA5"",""Alarm bit 0xA3 of Protocol Number 0xA9"",""Alarm type 0x01 of Extension ID 0x65 of Message ID 0x0200""],""14"":[""AVL ID 11700""],""250"":[""ST 0 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 55 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 61 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 33 of Service Data Event Type 30 of Message Type 0x1051""],""515"":[""eventType 'DriverAsleep' of Event type 'metadata' of Pub type 'events'"",""eventType 'DriverDrowsiness' of Event type 'metadata' of Pub type 'events'""],""552"":[""Additional info ID 0x18"",""Alarm/Event type 1 of Additional info ID 0x65"",""Message ID 0x0200"",""Message ID 0x0801""],""776"":[""Additional info ID 0x18"",""Message ID 0x0200""],""850"":[""Additional info ID 0x18"",""Alarm/Event type 0xD1 of Additional info ID 0x65"",""Alarm/Event type 0xD2 of Additional info ID 0x65"",""Alarm/Event type 0xD4 of Additional info ID 0x65"",""Alarm/Event type 0xF0 of Additional info ID 0x65"",""Alarm/Event type 0xF1 of Additional info ID 0x65"",""Alarm/Event type 1 of Additional info ID 0x65"",""Message ID 0x0200"",""Message ID 0x0801""],""865"":[""Alarm/Event type 1 of Additional info ID 0x65"",""Message ID 0x0200"",""Message ID 0x0801""],""919"":[""Additional info ID 0x18"",""Alarm/Event type 1 of Additional info ID 0x65"",""Message ID 0x0200"",""Message ID 0x0801""]}",10
"11119","dsm.seatbelt.event","boolean","","[13,14,33,250,413,515,850,865,919]","Driver seatbelt event generated by Driver status monitoring system (DSM)","{""13"":[""Alarm type 0x0A of Extension ID 0x65 of Message ID 0x0200"",""Alarm type 0x12 of Extension ID 0x65 of Message ID 0x0200""],""14"":[""AVL ID 11713""],""33"":[""Event ID 8 of Report GTDSS""],""250"":[""ST 16 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 69 of Service Data Event Type 30 of Message Type 0x1051""],""515"":[""eventType 'UnfastenedSeatbelt' of Event type 'metadata' of Pub type 'events'""],""850"":[""Alarm/Event type 0xD7 of Additional info ID 0x65""],""865"":[""Alarm/Event type 6 of Additional info ID 0x65""],""919"":[""Alarm/Event type 0x06 of Additional info ID 0x65""]}",9
"11120","dsm.smoking.event","boolean","","[9,13,14,33,250,413,552,776,850,865,919]","Driver smoking event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0x9A of Protocol Number 0x13"",""Alarm bit 0x9A of Protocol Number 0x16"",""Alarm bit 0x9A of Protocol Number 0x19"",""Alarm bit 0x9A of Protocol Number 0x26"",""Alarm bit 0x9A of Protocol Number 0x27"",""Alarm bit 0x9A of Protocol Number 0x36"",""Alarm bit 0x9A of Protocol Number 0x37"",""Alarm bit 0x9A of Protocol Number 0x38"",""Alarm bit 0x9A of Protocol Number 0x39"",""Alarm bit 0x9A of Protocol Number 0x95"",""Alarm bit 0x9A of Protocol Number 0xA3"",""Alarm bit 0x9A of Protocol Number 0xA4"",""Alarm bit 0x9A of Protocol Number 0xA5"",""Alarm bit 0x9A of Protocol Number 0xA9"",""Alarm type 0x03 of Extension ID 0x65 of Message ID 0x0200""],""14"":[""AVL ID 11704""],""33"":[""Event ID 4 of Report GTDSS""],""250"":[""ST 3 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 35 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Additional info ID 0x18"",""Alarm/Event type 3 of Additional info ID 0x65""],""776"":[""Additional info ID 0x18""],""850"":[""Additional info ID 0x18"",""Alarm/Event type 3 of Additional info ID 0x65""],""865"":[""Alarm/Event type 3 of Additional info ID 0x65""],""919"":[""Additional info ID 0x18"",""Alarm/Event type 3 of Additional info ID 0x65""]}",11
"11121","dsm.yawning.event","boolean","","[9,13,14,33,250,413,850]","Driver yawning event generated by Driver status monitoring system (DSM)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0xA0 of Protocol Number 0x13"",""Alarm bit 0xA0 of Protocol Number 0x16"",""Alarm bit 0xA0 of Protocol Number 0x19"",""Alarm bit 0xA0 of Protocol Number 0x26"",""Alarm bit 0xA0 of Protocol Number 0x27"",""Alarm bit 0xA0 of Protocol Number 0x36"",""Alarm bit 0xA0 of Protocol Number 0x37"",""Alarm bit 0xA0 of Protocol Number 0x38"",""Alarm bit 0xA0 of Protocol Number 0x39"",""Alarm bit 0xA0 of Protocol Number 0x95"",""Alarm bit 0xA0 of Protocol Number 0xA3"",""Alarm bit 0xA0 of Protocol Number 0xA4"",""Alarm bit 0xA0 of Protocol Number 0xA5"",""Alarm bit 0xA0 of Protocol Number 0xA9"",""Alarm type 0x09 of Extension ID 0x65 of Message ID 0x0200""],""14"":[""AVL ID 11702""],""33"":[""Event ID 2 of Report GTDSS""],""250"":[""ST 10 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 66 of Service Data Event Type 30 of Message Type 0x1051""],""850"":[""Alarm/Event type 0xD3 of Additional info ID 0x65"",""Alarm/Event type 0xF2 of Additional info ID 0x65""]}",7
"11122","adas.blindspot.event","boolean","","[33,250,413,850,865,919]","Blindspot detection event generated by Advanced driver-assistance system (ADAS)","{""33"":[""Event ID 30 of Report GTDSS""],""250"":[""ST 18 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 23 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 33 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 34 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 64 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 65 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 82 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 83 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 100 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 101 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 102 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 103 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 104 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 105 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 106 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 107 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 96 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 97 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 98 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 99 of Service Data Event Type 30 of Message Type 0x1051""],""850"":[""Additional info ID 0x67""],""865"":[""Additional info ID 0x67""],""919"":[""Alarm/Event type 0x12 of Additional info ID 0x64""]}",6
"11124","adas.distance.event","boolean","","[9,13,14,33,250,413,552,850,865,919]","Unsafety distance event generated by Advanced driver-assistance system (ADAS)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0xCE of Protocol Number 0x13"",""Alarm bit 0xCE of Protocol Number 0x16"",""Alarm bit 0xCE of Protocol Number 0x19"",""Alarm bit 0xCE of Protocol Number 0x26"",""Alarm bit 0xCE of Protocol Number 0x27"",""Alarm bit 0xCE of Protocol Number 0x36"",""Alarm bit 0xCE of Protocol Number 0x37"",""Alarm bit 0xCE of Protocol Number 0x38"",""Alarm bit 0xCE of Protocol Number 0x39"",""Alarm bit 0xCE of Protocol Number 0x95"",""Alarm bit 0xCE of Protocol Number 0xA3"",""Alarm bit 0xCE of Protocol Number 0xA4"",""Alarm bit 0xCE of Protocol Number 0xA5"",""Alarm bit 0xCE of Protocol Number 0xA9"",""Alarm type 0x03 of Extension ID 0x64 of Message ID 0x0200""],""14"":[""AVL ID 610"",""AVL ID 612""],""33"":[""Event ID 22 of Report GTDSS""],""250"":[""ST 9 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 18 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 3 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 9 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Alarm/Event type 3 of Additional info ID 0x64""],""850"":[""Alarm/Event type 3 of Additional info ID 0x64""],""865"":[""Alarm/Event type 3 of Additional info ID 0x64"",""Alarm/Event type 8 of Additional info ID 0x64""],""919"":[""Alarm/Event type 3 of Additional info ID 0x64""]}",10
"11125","adas.harsh.driving.event","boolean","","[13,250,413]","Harsh driving event generated by Advanced driver-assistance system (ADAS)","{""13"":[""Alarm type 0x05 of Extension ID 0x64 of Message ID 0x0200""],""250"":[""ST 43 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 44 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 5 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 7 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 8 of Service Data Event Type 30 of Message Type 0x1051""]}",3
"11126","adas.lane.departure.event","boolean","","[9,13,14,250,413,552,850,865,919]","Lane departure event generated by Advanced driver-assistance system (ADAS)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0xCD of Protocol Number 0x13"",""Alarm bit 0xCD of Protocol Number 0x16"",""Alarm bit 0xCD of Protocol Number 0x19"",""Alarm bit 0xCD of Protocol Number 0x26"",""Alarm bit 0xCD of Protocol Number 0x27"",""Alarm bit 0xCD of Protocol Number 0x36"",""Alarm bit 0xCD of Protocol Number 0x37"",""Alarm bit 0xCD of Protocol Number 0x38"",""Alarm bit 0xCD of Protocol Number 0x39"",""Alarm bit 0xCD of Protocol Number 0x95"",""Alarm bit 0xCD of Protocol Number 0xA3"",""Alarm bit 0xCD of Protocol Number 0xA4"",""Alarm bit 0xCD of Protocol Number 0xA5"",""Alarm bit 0xCD of Protocol Number 0xA9"",""Alarm type 0x02 of Extension ID 0x64 of Message ID 0x0200""],""14"":[""AVL ID 605"",""AVL ID 606""],""250"":[""ST 14 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 45 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 5 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 59 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 67 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 19 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 2 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 20 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Alarm/Event type 2 of Additional info ID 0x64"",""Alarm/Event type 5 of Additional info ID 0x64""],""850"":[""Alarm/Event type 0xF0 of Additional info ID 0x64"",""Alarm/Event type 0xF2 of Additional info ID 0x64"",""Alarm/Event type 0xF3 of Additional info ID 0x64"",""Alarm/Event type 2 of Additional info ID 0x64"",""Alarm/Event type 5 of Additional info ID 0x64""],""865"":[""Alarm/Event type 2 of Additional info ID 0x64"",""Alarm/Event type 5 of Additional info ID 0x64""],""919"":[""Alarm/Event type 2 of Additional info ID 0x64"",""Alarm/Event type 5 of Additional info ID 0x64""]}",9
"11127","adas.obstacle.event","boolean","","[13,250,552,850,865,919]","Obstacle detect event generated by Advanced driver-assistance system (ADAS)","{""13"":[""Alarm type 0x07 of Extension ID 0x64 of Message ID 0x0200""],""250"":[""ST 8 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""552"":[""Alarm/Event type 7 of Additional info ID 0x64""],""850"":[""Alarm/Event type 7 of Additional info ID 0x64""],""865"":[""Alarm/Event type 7 of Additional info ID 0x64""],""919"":[""Alarm/Event type 7 of Additional info ID 0x64""]}",6
"11128","adas.pedestrian.event","boolean","","[13,14,33,250,413,552,850,865,919]","Pedestrian detect event generated by Advanced driver-assistance system (ADAS)","{""13"":[""Alarm type 0x04 of Extension ID 0x64 of Message ID 0x0200""],""14"":[""AVL ID 614""],""33"":[""Event ID 21 of Report GTDSS""],""250"":[""ST 11 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 27 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 28 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 29 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 46 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 4 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Alarm/Event type 4 of Additional info ID 0x64""],""850"":[""Alarm/Event type 0xD4 of Additional info ID 0x64"",""Alarm/Event type 4 of Additional info ID 0x64""],""865"":[""Alarm/Event type 4 of Additional info ID 0x64""],""919"":[""Alarm/Event type 4 of Additional info ID 0x64""]}",9
"11129","adas.road.defect.event","boolean","","[250]","Road defect detection event generated by Advanced driver-assistance system (ADAS)","{""250"":[""ST 88 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""]}",1
"11130","adas.traffic.sign.violation.event","boolean","","[13,14,250,413,552,850,865,919]","Traffic sign violation event generated by Advanced driver-assistance system (ADAS)","{""13"":[""Alarm type 0x06 of Extension ID 0x64 of Message ID 0x0200""],""14"":[""AVL ID 619""],""250"":[""ST 25 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 26 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 31 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 7 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 84 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 6 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Alarm/Event type 6 of Additional info ID 0x64""],""850"":[""Alarm/Event type 0x10 of Additional info ID 0x64"",""Alarm/Event type 6 of Additional info ID 0x64""],""865"":[""Alarm/Event type 0x10 of Additional info ID 0x64"",""Alarm/Event type 6 of Additional info ID 0x64""],""919"":[""Alarm/Event type 6 of Additional info ID 0x64""]}",8
"11131","gnss.fail.count","number","","[249,555]","Number of times the GNSS has failed to obtain a valid fix","{""249"":[""EID 0x044""],""555"":[""gnss.fail.count""]}",2
"11132","vibration.status","boolean","","[9,120,555]","Vibration status of the device. true - device is vibrated, false - device is in still state","{""9"":[""Command type CCE with Parameter ID 0x1C""],""120"":[""Alarm Code 26"",""Alarm Code 38"",""Alarm Code 9""],""555"":[""vibration.status""]}",3
"11133","dsm.fatigue.degree","number","","[552,776,850,865,919]","Driver fatigue degree got from Driver status monitoring system (DSM)","{""552"":[""Additional info ID 0x18""],""776"":[""Additional info ID 0x18""],""850"":[""Additional info ID 0x18"",""Alarm/Event type 0xD1 of Additional info ID 0x65"",""Alarm/Event type 0xD2 of Additional info ID 0x65"",""Alarm/Event type 0xD4 of Additional info ID 0x65"",""Alarm/Event type 0xF0 of Additional info ID 0x65"",""Alarm/Event type 0xF1 of Additional info ID 0x65"",""Alarm/Event type 1 of Additional info ID 0x65""],""865"":[""Alarm/Event type 0x12 of Additional info ID 0x65"",""Alarm/Event type 1 of Additional info ID 0x65""],""919"":[""Additional info ID 0x18""]}",5
"11134","can.idle.used.fuel.level","number","percentage","[125]","Difference in fuel percentage while the vehicle is in idle mode, read from CAN","{}",1
"11135","can.trip.avg.engine.coolant.temperature","number","celsius","[125]","Average engine coolant temperature during the trip, read from CAN","{}",1
"11136","can.trip.avg.engine.rpm","number","rpm","[125]","Average engine RPM of the trip from CAN","{}",1
"11137","can.trip.avg.oil.temperature","number","celsius","[125]","Average engine oil temperature during the trip, read from CAN","{}",1
"11138","can.trip.avg.speed","number","km/h","[125]","Average speed of the trip from CAN","{}",1
"11139","can.trip.excess.rpm.count","number","","[125]","Number of times the engine RPM threshold was exceeded during the trip, read from CAN","{}",1
"11140","can.trip.fuel.economy","number","km/liters","[125,319]","Fuel economy calculated for current trip, read from CAN","{""319"":[""Packet item number 81""]}",2
"11141","can.trip.max.engine.coolant.temperature","number","celsius","[125]","Maximum engine coolant temperature during the trip, read from CAN","{}",1
"11142","can.trip.max.engine.rpm","number","rpm","[125]","Maximum engine RPM of the trip from CAN","{}",1
"11143","can.trip.max.oil.temperature","number","celsius","[125]","Maximum engine oil temperature during the trip, read from CAN","{}",1
"11144","can.trip.max.speed","number","km/h","[125,245]","Maximum speed of the trip from CAN","{}",2
"11145","can.trip.used.fuel.level","number","percentage","[125]","Difference in fuel level percentage during the trip, read from CAN","{}",1
